tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
1808,wealthy,4368319.460263,-754296.727508262,4370059.430263,-752556.757508262
1976,wealthy,4371456.42959318,-761578.223066571,4373196.39959318,-759838.253066571
2052,wealthy,4372742.43207997,-761603.848416042,4374482.40207997,-759863.878416042
1822,wealthy,4368376.88114154,-756474.736099255,4370116.85114154,-754734.766099255
1720,wealthy,4368550.17111198,-747724.839494957,4370290.14111198,-745984.869494957
1950,wealthy,4371006.79256318,-762076.271148721,4372746.76256318,-760336.301148721
1550,average,4360073.11939182,-744775.869709153,4361813.08939182,-743035.899709153
1744,average,4366262.46776396,-767969.443104155,4368002.43776396,-766229.473104155
1548,average,4360398.14295888,-767817.474284051,4362138.11295888,-766077.504284051
2090,average,4378243.73016994,-766664.660715027,4379983.70016994,-764924.690715027
1491,average,4356327.27201685,-761255.961802424,4358067.24201686,-759515.991802424
1536,average,4359314.71657878,-763108.248439105,4361054.68657878,-761368.278439105
1457,average,4352572.99396179,-770221.179329795,4354312.96396179,-768481.209329795
1493,average,4356749.62047116,-759985.939047252,4358489.59047116,-758245.969047252
1645,average,4363674.86710966,-760892.223631019,4365414.83710967,-759152.253631019
1685,average,4364998.14021747,-772843.382347707,4366738.11021747,-771103.412347707
1943,average,4370885.03926724,-772135.521892886,4372625.00926724,-770395.551892886
1637,average,4363588.15277322,-761830.962396729,4365328.12277322,-760090.992396729
1643,poor,4363760.0654846,-763576.76899191,4365500.0354846,-761836.79899191
1526,poor,4358770.54244779,-760393.996340718,4360510.51244779,-758654.026340718
1718,poor,4366932.73864143,-778398.115427151,4368672.70864143,-776658.145427151
1757,poor,4366341.99233025,-773961.426426905,4368081.96233025,-772221.456426905
1724,poor,4365779.04658341,-765252.411416184,4367519.01658341,-763512.441416184
1694,wealthy,4364937.72083733,-766035.129179956,4366677.69083733,-764295.159179956
1949,wealthy,4370850.17905297,-761627.646294366,4372590.14905297,-759887.676294366
1531,wealthy,4359023.94750531,-741216.232790241,4360763.91750531,-739476.262790241
2071,average,4374793.25569121,-770229.354040331,4376533.22569121,-768489.384040331
1596,average,4362295.63969131,-759546.808041851,4364035.60969131,-757806.838041851
1731,wealthy,4365864.77415558,-757579.241766387,4367604.74415558,-755839.271766387
